track_id,team,total_distance_m,max_speed_kmh,average_speed_kmh,frames_tracked,total_distance_km
253,1.0,0.87,27.07,27.07,3,0.001
255,1.0,102.56,40.82,19.92,86,0.103
262,1.0,3.09,40.75,40.75,4,0.003
263,1.0,34.45,42.06,26.26,54,0.034
264,1.0,47.17,43.13,24.09,48,0.047
265,1.0,95.58,41.14,28.81,75,0.096
266,1.0,53.58,32.51,23.13,39,0.054
272,1.0,0.0,,,1,0.0
282,1.0,4.22,32.94,17.63,11,0.004
291,1.0,43.17,42.54,23.93,44,0.043
293,1.0,5.66,,,6,0.006
296,1.0,28.3,41.41,30.69,24,0.028
301,1.0,0.34,30.25,30.25,1,0.0
301,2.0,0.0,,,1,0.0
319,1.0,24.26,32.71,32.71,7,0.024
321,1.0,12.19,41.09,24.46,13,0.012
322,1.0,16.65,35.47,25.49,19,0.017
323,1.0,22.15,32.45,32.45,19,0.022
325,1.0,13.17,31.03,25.51,17,0.013
331,1.0,14.33,41.4,30.5,15,0.014
337,1.0,3.33,37.0,20.98,9,0.003
341,1.0,3.42,37.08,37.08,5,0.003
344,,0.12,11.13,11.13,2,0.0
345,1.0,80.16,37.03,20.46,60,0.08
346,1.0,57.07,34.63,27.76,33,0.057
348,1.0,9.85,,,1,0.01
348,2.0,0.0,,,1,0.0
351,1.0,0.0,,,1,0.0
356,1.0,25.74,42.91,29.74,21,0.026
366,1.0,0.95,26.12,10.7,9,0.001
367,1.0,62.27,40.99,31.36,58,0.062
368,1.0,16.17,43.07,23.06,34,0.016
369,1.0,31.61,39.36,19.03,40,0.032
370,1.0,33.29,27.13,15.16,44,0.033
371,1.0,4.65,41.95,23.14,16,0.005
373,1.0,32.31,39.64,14.93,41,0.032
378,1.0,35.97,40.1,21.96,45,0.036
380,1.0,41.89,37.26,21.2,39,0.042
385,1.0,5.11,11.7,5.52,7,0.005
389,1.0,0.66,7.64,3.95,8,0.001
390,1.0,1.22,18.02,18.02,3,0.001
391,1.0,10.43,30.72,28.12,5,0.01
392,1.0,34.67,35.05,20.13,16,0.035
397,1.0,9.9,,,10,0.01
402,1.0,21.19,42.31,23.23,17,0.021
404,1.0,23.06,37.0,23.23,32,0.023
410,1.0,37.67,42.39,30.39,31,0.038
430,1.0,20.32,38.45,26.17,22,0.02
441,1.0,7.17,42.54,35.57,18,0.007
448,1.0,3.68,22.17,13.69,10,0.004
453,1.0,3.77,31.71,24.08,13,0.004
455,1.0,2.76,,,4,0.003
457,1.0,5.07,41.41,25.33,11,0.005
458,1.0,5.36,39.85,28.37,11,0.005
460,1.0,4.81,15.74,15.74,6,0.005
465,1.0,0.56,32.45,25.4,3,0.001
476,1.0,0.0,,,1,0.0
480,1.0,16.98,,,3,0.017
483,1.0,26.3,34.21,16.79,62,0.026
484,1.0,7.52,31.07,10.34,48,0.008
484,2.0,0.29,13.1,1.88,14,0.0
485,1.0,57.11,42.69,17.3,88,0.057
485,2.0,3.26,37.84,11.1,15,0.003
488,1.0,43.26,40.45,15.88,60,0.043
488,2.0,0.74,14.65,3.16,19,0.001
491,1.0,3.98,36.94,15.93,6,0.004
491,,0.11,10.18,10.18,1,0.0
492,1.0,9.76,33.89,12.93,56,0.01
499,1.0,0.0,,,1,0.0
501,1.0,0.0,,,1,0.0
502,2.0,0.53,12.73,7.88,7,0.001
502,,0.48,24.3,16.88,2,0.0
503,2.0,21.91,42.54,23.55,30,0.022
505,1.0,0.0,,,1,0.0
505,,0.58,,,1,0.001
515,1.0,0.0,,,1,0.0
517,1.0,2.5,40.51,15.37,12,0.002
521,,2.62,39.97,22.78,9,0.003
525,1.0,0.0,,,1,0.0
527,1.0,39.47,41.49,30.96,42,0.039
529,1.0,43.93,35.23,26.25,26,0.044
530,1.0,28.65,39.07,25.01,39,0.029
531,1.0,29.34,42.57,28.46,41,0.029
532,1.0,26.84,42.76,27.82,42,0.027
533,1.0,19.2,42.69,33.79,28,0.019
534,1.0,24.46,39.54,28.01,40,0.024
535,,32.33,,,21,0.032
536,1.0,26.66,40.42,24.24,36,0.027
557,1.0,0.0,,,1,0.0
559,,0.0,,,1,0.0
581,1.0,12.95,34.49,18.01,24,0.013
582,1.0,0.0,,,1,0.0
583,,0.0,,,1,0.0
584,1.0,0.0,,,1,0.0
585,,0.0,,,1,0.0
586,1.0,2.48,27.53,12.14,9,0.002
586,,0.0,,,1,0.0
596,1.0,0.0,,,1,0.0
597,1.0,6.87,29.02,16.2,14,0.007
600,1.0,0.67,,,1,0.001
600,,1.85,37.88,25.7,6,0.002
607,,2.04,37.17,18.35,10,0.002
611,,1.95,40.54,18.03,9,0.002
615,1.0,0.4,36.15,36.15,2,0.0
624,1.0,9.17,33.32,20.32,16,0.009
627,1.0,18.2,39.45,24.68,24,0.018
629,1.0,22.07,34.49,15.16,11,0.022
630,1.0,211.02,42.57,28.61,105,0.211
631,1.0,58.44,40.51,22.79,58,0.058
632,1.0,43.59,,,32,0.044
633,1.0,27.17,,,15,0.027
634,1.0,39.0,42.34,24.7,52,0.039
644,1.0,39.35,31.07,16.44,55,0.039
648,1.0,8.17,33.93,26.37,11,0.008
659,1.0,4.9,,,3,0.005
661,,0.0,,,1,0.0
669,1.0,27.69,,,17,0.028
670,1.0,7.15,,,8,0.007
670,2.0,10.51,41.56,24.38,13,0.011
670,,5.28,38.07,32.32,6,0.005
678,1.0,0.79,,,2,0.001
680,1.0,17.23,38.79,16.16,42,0.017
680,2.0,3.25,28.42,28.42,6,0.003
714,2.0,5.21,,,4,0.005
717,1.0,4.69,31.82,16.04,21,0.005
718,,0.0,,,1,0.0
719,1.0,12.43,38.07,20.03,20,0.012
730,1.0,0.0,,,1,0.0
735,1.0,1.24,32.51,22.38,6,0.001
737,1.0,9.37,,,6,0.009
740,1.0,89.86,34.25,32.4,36,0.09
745,2.0,7.52,38.71,4.5,75,0.008
746,1.0,0.0,,,1,0.0
755,1.0,40.23,25.41,25.41,18,0.04
755,2.0,1.61,,,1,0.002
758,1.0,21.34,,,5,0.021
759,1.0,4.9,42.34,5.99,72,0.005
760,1.0,17.79,,,7,0.018
762,1.0,3.82,35.01,4.85,72,0.004
764,1.0,0.95,,,2,0.001
766,1.0,112.34,42.41,24.36,64,0.112
766,2.0,5.06,,,4,0.005
773,1.0,3.9,19.74,19.74,7,0.004
774,1.0,0.0,,,1,0.0
775,1.0,3.27,17.47,16.51,4,0.003
777,1.0,16.53,,,7,0.017
778,1.0,5.36,,,4,0.005
784,1.0,24.34,,,8,0.024
792,1.0,56.15,38.86,26.58,38,0.056
812,1.0,20.84,39.04,23.05,26,0.021
813,1.0,0.26,6.91,4.73,3,0.0
814,1.0,13.48,23.22,19.27,9,0.013
